2022-10-23T15:51:22.918207,anonymous,user cancelled
2022-10-23T15:58:20.248954,345,user cancelled
2022-10-23T15:59:23.920821,anonymous,user cancelled
2022-10-23T16:38:37.451103,anonymous,user cancelled
2022-10-25T18:44:07.193260,anonymous,user cancelled
2022-10-25T18:50:08.185392,anonymous,user cancelled
2022-10-28T14:15:08.001488,12,user cancelled
2022-10-30T16:37:42.786072,anonymous,user cancelled
2022-10-30T18:54:11.358992,12,time out
2022-10-30T18:54:38.399286,anonymous,user cancelled
2022-10-30T18:54:39.776090,anonymous,time out
2022-11-03T21:07:21.734208,12,user cancelled
2022-11-03T21:07:46.119766,12,user cancelled
2022-11-03T21:31:12.749600,anonymous,time out
2022-11-03T21:32:12.133458,12,time out
2022-11-03T21:33:59.962493,anonymous,time out
2022-11-03T21:34:56.452688,anonymous,time out
2022-11-03T21:36:19.716302,12,time out
2022-11-03T21:45:22.498796,anonymous,time out
2022-11-03T21:46:11.504948,anonymous,time out
2022-11-03T21:47:46.028805,anonymous,time out
2022-11-03T21:48:52.794092,anonymous,time out
2022-11-03T21:55:45.557302,anonymous,time out
2022-11-03T22:02:09.129101,12,time out
2022-11-03T22:06:26.457358,anonymous,time out
2022-11-03T22:18:13.144229,anonymous,time out
2022-11-03T22:18:37.533649,anonymous,time out
2022-11-03T22:18:44.451495,anonymous,time out
2022-11-03T22:18:47.416994,anonymous,time out
2022-11-03T22:18:50.300146,anonymous,time out
2022-11-04T14:46:51.433865,anonymous,user cancelled
2022-11-04T14:48:25.843679,12,user cancelled
2022-11-04T14:52:03.284578,345,time out
2022-11-04T14:57:44.648935,anonymous,time out
2022-11-04T15:00:01.533156,anonymous,time out
